ticket_id,symbol,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_size,risk_pts,reward_pts,rr_realized,realized_pnl,is_win,exit_reason,holding_bars,mae_pts,mfe_pts,session_window,htf_bias,sweep_side,sweep_penetration_pips,displacement_ratio,fvg_size_atr,dealing_range_coordinate,planned_rr,atr_14,laya_authorized,laya_regime,laya_grade,laya_probability
616262,XAUUSD,2021-10-31 09:26:00+00:00,2021-10-31 09:27:00+00:00,SHORT,1805.31,1803.4,1806.75,1803.4,22.5,1.12,2.24,1.71,4298.22,1,TP_HIT,1,0.0,25.31,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,3.82,1.27,0.75,2.0,0.79,1,TRENDING_ORDERFLOW,3,0.937
632358,XAUUSD,2021-11-11 13:42:00+00:00,2021-11-11 13:43:00+00:00,SHORT,1880.85,1879.0,1882.26,1879.0,17.25,1.09,2.17,1.7,3182.67,1,TP_HIT,1,0.0,20.85,NY_AM,BEARISH,BUY_SIDE,0.01,1.75,1.75,0.5,2.0,0.57,1,NORMAL_EXPANSION,2,0.807
638148,XAUUSD,2021-11-15 14:12:00+00:00,2021-11-15 14:13:00+00:00,SHORT,1893.04,1889.07,1895.52,1889.07,22.5,2.15,4.3,1.85,8942.85,1,TP_HIT,1,0.0,24.04,NY_AM,BEARISH,BUY_SIDE,0.01,3.0,1.0,0.6,2.0,1.0,1,TRENDING_ORDERFLOW,3,0.869
640986,XAUUSD,2021-11-17 13:30:00+00:00,2021-11-17 13:31:00+00:00,SHORT,1883.14,1879.29,1885.55,1879.29,17.25,2.08,4.17,1.84,6632.09,1,TP_HIT,1,0.0,22.14,NY_AM,BEARISH,BUY_SIDE,0.01,1.75,1.75,0.5,2.0,0.57,1,NORMAL_EXPANSION,2,0.806
643684,XAUUSD,2021-11-19 10:28:00+00:00,2021-11-19 10:29:00+00:00,SHORT,1882.23,1880.3,1883.68,1880.3,22.5,1.13,2.26,1.71,4344.47,1,TP_HIT,1,0.0,23.23,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,2.33,1.17,0.667,2.0,0.86,1,TRENDING_ORDERFLOW,3,0.883
649245,XAUUSD,2021-11-23 07:09:00+00:00,2021-11-23 07:10:00+00:00,SHORT,1828.41,1824.57,1830.82,1824.57,17.25,2.08,4.17,1.84,6631.98,1,TP_HIT,1,0.0,23.41,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,3.5,1.75,0.5,2.0,0.57,1,NORMAL_EXPANSION,2,0.862
659500,XAUUSD,2021-11-30 10:04:00+00:00,2021-11-30 10:05:00+00:00,SHORT,1815.76,1811.89,1818.18,1811.89,22.5,2.1,4.19,1.84,8702.54,1,TP_HIT,1,0.0,21.76,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,1.56,3.11,0.667,2.0,0.64,1,TRENDING_ORDERFLOW,3,0.91
667965,XAUUSD,2021-12-06 07:09:00+00:00,2021-12-06 07:10:00+00:00,SHORT,1807.04,1798.85,1811.62,1798.85,17.25,4.26,8.51,1.92,14125.95,1,TP_HIT,1,0.0,24.04,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,2.33,1.17,0.556,2.0,1.71,1,TRENDING_ORDERFLOW,2,0.834
671402,XAUUSD,2021-12-08 16:26:00+00:00,2021-12-08 16:27:00+00:00,SHORT,1806.16,1806.33,1806.55,1806.33,22.5,0.07,0.15,-2.39,-397.81,0,TP_HIT,1,0.0,23.16,NY_AM,BEARISH,BUY_SIDE,0.01,6.0,2.0,1.0,2.0,0.5,1,TRENDING_ORDERFLOW,3,0.983
672465,XAUUSD,2021-12-09 10:09:00+00:00,2021-12-09 10:10:00+00:00,SHORT,1806.19,1802.28,1808.63,1802.28,22.5,2.12,4.23,1.85,8795.8,1,TP_HIT,1,0.0,24.19,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,2.55,1.27,0.667,2.0,0.79,1,TRENDING_ORDERFLOW,3,0.891
673852,XAUUSD,2021-12-10 09:16:00+00:00,2021-12-10 09:17:00+00:00,SHORT,1796.24,1792.41,1798.64,1792.41,17.25,2.07,4.15,1.84,6595.82,1,TP_HIT,1,0.0,24.24,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,4.0,2.0,0.5,2.0,0.5,1,NORMAL_EXPANSION,2,0.882
674185,XAUUSD,2021-12-10 14:49:00+00:00,2021-12-10 14:50:00+00:00,SHORT,1802.25,1798.3,1804.71,1798.3,22.5,2.14,4.28,1.85,8894.04,1,TP_HIT,1,0.0,25.25,NY_AM,BEARISH,BUY_SIDE,0.0,3.23,1.08,0.6,2.0,0.93,1,TRENDING_ORDERFLOW,3,0.877
678039,XAUUSD,2021-12-13 07:03:00+00:00,2021-12-13 07:04:00+00:00,LONG,1809.03,1807.62,1807.62,1810.87,15.0,1.09,2.17,-1.3,-2116.38,0,SL_HIT,1,22.03,0.0,LONDON_OPEN,BULLISH,SELL_SIDE,9.99,1.75,1.75,0.333,2.0,0.57,1,TRENDING_ORDERFLOW,3,0.806
694395,XAUUSD,2021-12-24 15:39:00+00:00,2021-12-24 15:40:00+00:00,SHORT,1833.92,1832.08,1835.34,1832.08,17.25,1.09,2.17,1.7,3184.29,1,TP_HIT,1,0.0,23.92,NY_AM,BEARISH,BUY_SIDE,0.01,1.75,1.75,0.5,2.0,0.57,1,NORMAL_EXPANSION,2,0.806
695351,XAUUSD,2021-12-25 07:35:00+00:00,2021-12-25 07:36:00+00:00,SHORT,1838.96,1837.13,1840.36,1837.13,17.25,1.07,2.15,1.7,3147.56,1,TP_HIT,1,0.0,23.96,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,2.0,2.0,0.5,2.0,0.5,1,NORMAL_EXPANSION,2,0.825
702564,XAUUSD,2021-12-30 07:48:00+00:00,2021-12-30 07:49:00+00:00,SHORT,1827.2,1825.37,1828.6,1825.37,17.25,1.07,2.15,1.7,3148.02,1,TP_HIT,1,0.0,25.2,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,2.0,2.0,0.5,2.0,0.5,1,NORMAL_EXPANSION,2,0.825
702570,XAUUSD,2021-12-30 07:54:00+00:00,2021-12-30 07:55:00+00:00,LONG,1827.85,1826.23,1826.23,1830.1,22.5,1.29,2.58,-1.25,-3632.68,0,SL_HIT,1,20.85,0.0,LONDON_OPEN,BULLISH,SELL_SIDE,9.99,2.59,0.52,0.053,2.0,1.93,1,TRENDING_ORDERFLOW,3,0.911
708291,XAUUSD,2022-01-03 07:15:00+00:00,2022-01-03 07:16:00+00:00,SHORT,1852.39,1848.59,1854.78,1848.59,22.5,2.06,4.13,1.84,8555.79,1,TP_HIT,1,0.0,24.39,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,2.33,2.33,0.6,2.0,0.43,1,TRENDING_ORDERFLOW,3,0.889
708375,XAUUSD,2022-01-03 08:39:00+00:00,2022-01-03 08:40:00+00:00,SHORT,1851.39,1847.63,1853.76,1847.63,17.25,2.04,4.08,1.84,6484.7,1,TP_HIT,1,0.0,24.39,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,3.5,3.5,0.5,2.0,0.29,1,NORMAL_EXPANSION,2,0.896
711531,XAUUSD,2022-01-05 13:15:00+00:00,2022-01-05 13:16:00+00:00,LONG,1849.15,1842.57,1842.57,1861.34,15.0,6.26,12.52,-1.05,-9874.27,0,SL_HIT,1,22.15,0.0,NY_AM,BULLISH,SELL_SIDE,10.0,2.33,1.75,0.316,2.0,1.71,1,TRENDING_ORDERFLOW,3,0.835
715916,XAUUSD,2022-01-08 14:20:00+00:00,2022-01-08 14:21:00+00:00,SHORT,1820.65,1816.84,1823.03,1816.84,17.25,2.06,4.13,1.84,6560.02,1,TP_HIT,1,0.0,24.65,NY_AM,BEARISH,BUY_SIDE,0.02,2.33,2.33,0.5,2.0,0.43,1,NORMAL_EXPANSION,2,0.847
715957,XAUUSD,2022-01-08 15:01:00+00:00,2022-01-08 15:02:00+00:00,LONG,1821.3,1818.89,1818.89,1825.15,17.25,2.09,4.17,-1.16,-4159.99,0,SL_HIT,1,22.3,0.0,NY_AM,BULLISH,SELL_SIDE,10.0,3.5,1.75,0.4,2.0,0.57,1,TRENDING_ORDERFLOW,2,0.83
717394,XAUUSD,2022-01-09 14:58:00+00:00,2022-01-09 14:59:00+00:00,SHORT,1823.69,1821.85,1825.11,1821.85,22.5,1.09,2.17,1.7,4152.22,1,TP_HIT,1,0.0,26.69,NY_AM,BEARISH,BUY_SIDE,0.0,5.25,1.75,0.833,2.0,0.57,1,TRENDING_ORDERFLOW,3,0.968
719826,XAUUSD,2022-01-11 07:30:00+00:00,2022-01-11 07:31:00+00:00,SHORT,1834.78,1833.04,1836.13,1833.04,17.25,1.03,2.06,1.69,3000.17,1,TP_HIT,1,0.0,23.78,LONDON_OPEN,BEARISH,BUY_SIDE,0.02,4.67,4.67,0.5,2.0,0.21,1,NORMAL_EXPANSION,2,0.918
721372,XAUUSD,2022-01-12 09:16:00+00:00,2022-01-12 09:17:00+00:00,LONG,1846.48,1845.07,1845.07,1848.33,15.0,1.09,2.17,-1.3,-2117.23,0,SL_HIT,1,23.48,0.0,LONDON_OPEN,BULLISH,SELL_SIDE,10.0,1.75,1.75,0.334,2.0,0.57,1,TRENDING_ORDERFLOW,3,0.806
732826,XAUUSD,2022-01-20 08:10:00+00:00,2022-01-20 08:11:00+00:00,SHORT,1871.21,1867.3,1873.65,1867.3,17.25,2.12,4.23,1.85,6744.6,1,TP_HIT,1,0.0,25.21,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,2.55,2.55,0.5,2.0,0.79,1,NORMAL_EXPANSION,2,0.86
732863,XAUUSD,2022-01-20 08:47:00+00:00,2022-01-20 08:48:00+00:00,SHORT,1871.21,1867.22,1873.7,1867.22,22.5,2.16,4.32,1.85,8990.77,1,TP_HIT,1,0.0,28.21,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,3.73,0.93,0.667,2.0,1.07,1,TRENDING_ORDERFLOW,3,0.908
736029,XAUUSD,2022-01-22 13:33:00+00:00,2022-01-22 13:34:00+00:00,LONG,1866.97,1866.46,1866.46,1867.01,17.25,0.18,0.37,-2.78,-875.69,0,SL_HIT,1,22.97,0.0,NY_AM,BULLISH,SELL_SIDE,20.0,1.65,0.82,0.0,2.0,1.21,1,NORMAL_EXPANSION,2,0.855
737436,XAUUSD,2022-01-23 13:00:00+00:00,2022-01-23 13:01:00+00:00,SHORT,1861.37,1859.54,1862.77,1859.54,17.25,1.07,2.15,1.7,3144.9,1,TP_HIT,1,0.0,25.37,NY_AM,BEARISH,BUY_SIDE,0.01,2.0,2.0,0.5,2.0,0.5,1,NORMAL_EXPANSION,2,0.825
743321,XAUUSD,2022-01-27 15:05:00+00:00,2022-01-27 15:06:00+00:00,SHORT,1842.56,1840.63,1844.02,1840.63,22.5,1.13,2.26,1.71,4345.37,1,TP_HIT,1,0.0,26.56,NY_AM,BEARISH,BUY_SIDE,0.01,2.33,1.17,0.75,2.0,0.86,1,TRENDING_ORDERFLOW,3,0.911
743400,XAUUSD,2022-01-27 16:24:00+00:00,2022-01-27 16:25:00+00:00,SHORT,1830.57,1826.68,1833.0,1826.68,22.5,2.11,4.21,1.85,8750.75,1,TP_HIT,1,0.0,26.57,NY_AM,BEARISH,BUY_SIDE,0.0,4.2,1.4,0.6,2.0,0.71,1,TRENDING_ORDERFLOW,3,0.906
753020,XAUUSD,2022-02-03 08:44:00+00:00,2022-02-03 08:45:00+00:00,SHORT,1833.89,1832.13,1835.26,1832.13,17.25,1.04,2.09,1.69,3037.13,1,TP_HIT,1,0.0,26.89,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,3.5,3.5,0.5,2.0,0.29,1,NORMAL_EXPANSION,2,0.896
754361,XAUUSD,2022-02-04 07:05:00+00:00,2022-02-04 07:06:00+00:00,SHORT,1836.93,1833.06,1839.35,1833.06,17.25,2.1,4.19,1.84,6671.95,1,TP_HIT,1,0.0,25.93,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,1.56,3.11,0.5,2.0,0.64,1,NORMAL_EXPANSION,2,0.846
756194,XAUUSD,2022-02-05 13:38:00+00:00,2022-02-05 13:39:00+00:00,LONG,1840.64,1839.24,1839.24,1842.47,22.5,1.08,2.15,-1.3,-3150.99,0,SL_HIT,1,23.64,0.0,NY_AM,BULLISH,SELL_SIDE,10.0,4.0,2.0,0.333,2.0,0.5,1,TRENDING_ORDERFLOW,3,0.882
757356,XAUUSD,2022-02-06 09:00:00+00:00,2022-02-06 09:01:00+00:00,SHORT,1839.03,1837.08,1840.5,1837.08,22.5,1.14,2.28,1.71,4394.8,1,TP_HIT,1,0.0,28.03,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,2.15,1.08,0.75,2.0,0.93,1,TRENDING_ORDERFLOW,3,0.906
757610,XAUUSD,2022-02-06 13:14:00+00:00,2022-02-06 13:15:00+00:00,SHORT,1839.04,1837.17,1840.46,1837.17,22.5,1.1,2.19,1.7,4201.79,1,TP_HIT,1,0.0,28.04,NY_AM,BEARISH,BUY_SIDE,0.01,3.11,3.11,0.667,2.0,0.64,1,TRENDING_ORDERFLOW,3,0.935
762045,XAUUSD,2022-02-09 15:09:00+00:00,2022-02-09 15:10:00+00:00,SHORT,1859.19,1857.41,1860.57,1857.41,17.25,1.05,2.11,1.69,3073.52,1,TP_HIT,1,0.0,26.19,NY_AM,BEARISH,BUY_SIDE,0.0,2.8,2.8,0.5,2.0,0.36,1,NORMAL_EXPANSION,2,0.874
770759,XAUUSD,2022-02-15 16:23:00+00:00,2022-02-15 16:24:00+00:00,SHORT,1876.48,1872.53,1878.95,1872.53,22.5,2.14,4.28,1.85,8891.78,1,TP_HIT,1,0.0,26.48,NY_AM,BEARISH,BUY_SIDE,0.0,2.15,1.08,0.667,2.0,0.93,1,TRENDING_ORDERFLOW,3,0.876
796594,XAUUSD,2022-03-05 14:58:00+00:00,2022-03-05 14:59:00+00:00,SHORT,1999.35,1995.46,2001.78,1995.46,17.25,2.11,4.21,1.85,6708.91,1,TP_HIT,1,0.0,27.35,NY_AM,BEARISH,BUY_SIDE,0.01,2.8,1.4,0.5,2.0,0.71,1,NORMAL_EXPANSION,2,0.829
804903,XAUUSD,2022-03-11 09:27:00+00:00,2022-03-11 09:28:00+00:00,SHORT,2025.62,2021.67,2028.09,2021.67,22.5,2.14,4.28,1.85,8895.4,1,TP_HIT,1,0.0,32.62,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,3.23,1.08,0.714,2.0,0.93,1,TRENDING_ORDERFLOW,3,0.915
812355,XAUUSD,2022-03-16 13:39:00+00:00,2022-03-16 13:40:00+00:00,SHORT,1954.87,1950.81,1957.39,1950.81,15.0,2.19,4.38,1.85,6089.47,1,TP_HIT,1,0.0,29.87,NY_AM,BEARISH,BUY_SIDE,0.0,2.33,0.78,0.6,2.0,1.29,1,TRENDING_ORDERFLOW,3,0.843
812391,XAUUSD,2022-03-16 14:15:00+00:00,2022-03-16 14:16:00+00:00,SHORT,1948.88,1940.62,1953.49,1940.62,22.5,4.29,8.58,1.92,18569.94,1,TP_HIT,1,0.0,38.88,NY_AM,BEARISH,BUY_SIDE,10.01,3.63,1.04,0.733,2.0,1.93,1,TRENDING_ORDERFLOW,3,0.872
819661,XAUUSD,2022-03-21 15:25:00+00:00,2022-03-21 15:26:00+00:00,SHORT,1965.12,1961.14,1967.59,1961.14,22.5,2.15,4.3,1.85,8943.61,1,TP_HIT,1,0.0,33.12,NY_AM,BEARISH,BUY_SIDE,0.0,2.0,2.0,0.778,2.0,1.0,1,TRENDING_ORDERFLOW,3,0.929
821019,XAUUSD,2022-03-22 14:03:00+00:00,2022-03-22 14:04:00+00:00,SHORT,1951.16,1949.25,1952.61,1949.25,22.5,1.12,2.23,1.71,4297.46,1,TP_HIT,1,0.0,29.16,NY_AM,BEARISH,BUY_SIDE,0.0,2.55,1.27,0.75,2.0,0.79,1,TRENDING_ORDERFLOW,3,0.917
823560,XAUUSD,2022-03-24 08:24:00+00:00,2022-03-24 08:25:00+00:00,SHORT,1969.25,1967.34,1970.69,1967.34,22.5,1.12,2.24,1.71,4297.92,1,TP_HIT,1,0.0,29.25,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,2.55,1.27,0.75,2.0,0.79,1,TRENDING_ORDERFLOW,3,0.917
832129,XAUUSD,2022-03-30 07:13:00+00:00,2022-03-30 07:14:00+00:00,SHORT,1949.54,1947.65,1950.97,1947.65,22.5,1.11,2.21,1.71,4249.85,1,TP_HIT,1,0.0,30.54,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,2.8,1.4,0.667,2.0,0.71,1,TRENDING_ORDERFLOW,3,0.899
840963,XAUUSD,2022-04-05 10:27:00+00:00,2022-04-05 10:28:00+00:00,SHORT,1954.83,1953.09,1956.19,1953.09,17.25,1.03,2.06,1.68,2997.74,1,TP_HIT,1,0.0,28.83,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,4.67,4.67,0.5,2.0,0.21,1,NORMAL_EXPANSION,2,0.919
845554,XAUUSD,2022-04-08 14:58:00+00:00,2022-04-08 14:59:00+00:00,SHORT,1971.99,1970.03,1973.45,1970.03,22.5,1.14,2.28,1.71,4395.39,1,TP_HIT,1,0.0,29.99,NY_AM,BEARISH,BUY_SIDE,0.01,2.15,1.08,0.667,2.0,0.93,1,TRENDING_ORDERFLOW,3,0.876
856971,XAUUSD,2022-04-16 13:15:00+00:00,2022-04-16 13:16:00+00:00,SHORT,2007.37,2005.65,2008.71,2005.65,17.25,1.02,2.04,1.68,2961.12,1,TP_HIT,1,0.0,28.37,NY_AM,BEARISH,BUY_SIDE,0.0,7.0,7.0,0.5,2.0,0.14,1,NORMAL_EXPANSION,2,0.924
859848,XAUUSD,2022-04-18 13:12:00+00:00,2022-04-18 13:13:00+00:00,SHORT,2025.46,2021.47,2027.95,2021.47,22.5,2.16,4.32,1.85,8990.17,1,TP_HIT,1,0.0,29.46,NY_AM,BEARISH,BUY_SIDE,0.01,1.87,0.93,0.667,2.0,1.07,1,TRENDING_ORDERFLOW,3,0.865
869653,XAUUSD,2022-04-25 08:37:00+00:00,2022-04-25 08:38:00+00:00,LONG,1952.44,1947.89,1947.89,1960.57,15.0,4.23,8.45,-1.08,-6825.36,0,SL_HIT,1,25.44,0.0,LONDON_OPEN,BULLISH,SELL_SIDE,9.99,2.67,0.67,0.308,2.0,1.5,1,TRENDING_ORDERFLOW,3,0.811
870055,XAUUSD,2022-04-25 15:19:00+00:00,2022-04-25 15:20:00+00:00,LONG,1932.46,1928.99,1928.99,1938.41,15.0,3.14,6.28,-1.1,-5197.29,0,SL_HIT,1,26.46,0.0,NY_AM,BULLISH,SELL_SIDE,9.99,3.23,1.08,0.375,2.0,0.93,1,TRENDING_ORDERFLOW,3,0.809
875844,XAUUSD,2022-04-29 15:48:00+00:00,2022-04-29 15:49:00+00:00,LONG,1941.65,1941.23,1941.23,1941.52,22.5,0.1,0.19,-4.34,-949.96,0,SL_HIT,1,29.65,0.0,NY_AM,BULLISH,SELL_SIDE,10.0,1.56,1.56,0.001,2.0,0.64,1,TRENDING_ORDERFLOW,3,0.927
885606,XAUUSD,2022-05-06 10:30:00+00:00,2022-05-06 10:31:00+00:00,SHORT,1912.33,1908.5,1914.73,1908.5,17.25,2.07,4.15,1.84,6597.79,1,TP_HIT,1,0.0,29.33,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,2.0,2.0,0.5,2.0,0.5,1,NORMAL_EXPANSION,2,0.825
891582,XAUUSD,2022-05-10 14:06:00+00:00,2022-05-10 14:07:00+00:00,LONG,1887.18,1884.68,1884.68,1891.2,22.5,2.17,4.34,-1.15,-5617.12,0,SL_HIT,1,26.18,0.0,NY_AM,BULLISH,SELL_SIDE,10.0,3.5,0.88,0.286,2.0,1.14,1,TRENDING_ORDERFLOW,3,0.856
901268,XAUUSD,2022-05-17 07:32:00+00:00,2022-05-17 07:33:00+00:00,LONG,1858.5,1857.07,1857.07,1860.39,22.5,1.11,2.22,-1.29,-3223.84,0,SL_HIT,1,28.5,0.0,LONDON_OPEN,BULLISH,SELL_SIDE,10.0,2.8,1.4,0.25,2.0,0.71,1,TRENDING_ORDERFLOW,3,0.868
911425,XAUUSD,2022-05-24 08:49:00+00:00,2022-05-24 08:50:00+00:00,SHORT,1892.19,1890.37,1893.59,1890.37,22.5,1.07,2.15,1.7,4104.76,1,TP_HIT,1,0.0,34.19,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,8.0,2.0,0.8,2.0,0.5,1,TRENDING_ORDERFLOW,3,0.966
915705,XAUUSD,2022-05-27 08:09:00+00:00,2022-05-27 08:10:00+00:00,LONG,1889.98,1889.51,1889.51,1889.96,22.5,0.15,0.3,-3.16,-1069.43,0,SL_HIT,1,28.98,0.0,LONDON_OPEN,BULLISH,SELL_SIDE,9.99,2.0,1.0,0.0,2.0,1.0,1,TRENDING_ORDERFLOW,3,0.925
918882,XAUUSD,2022-05-29 13:06:00+00:00,2022-05-29 13:07:00+00:00,LONG,1889.09,1887.67,1887.67,1890.96,15.0,1.1,2.19,-1.3,-2132.3,0,SL_HIT,1,33.09,0.0,NY_AM,BULLISH,SELL_SIDE,9.99,1.56,1.56,0.25,2.0,0.64,1,TRENDING_ORDERFLOW,3,0.837
934489,XAUUSD,2022-06-09 09:13:00+00:00,2022-06-09 09:14:00+00:00,SHORT,1883.96,1880.18,1886.34,1880.18,17.25,2.05,4.11,1.84,6521.09,1,TP_HIT,1,0.0,30.96,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,5.6,2.8,0.5,2.0,0.36,1,NORMAL_EXPANSION,2,0.92
935936,XAUUSD,2022-06-10 09:20:00+00:00,2022-06-10 09:21:00+00:00,SHORT,1877.01,1875.17,1878.42,1875.17,22.5,1.09,2.17,1.7,4154.33,1,TP_HIT,1,0.0,34.01,LONDON_OPEN,BEARISH,BUY_SIDE,0.01,5.25,1.75,0.75,2.0,0.57,1,TRENDING_ORDERFLOW,3,0.957
953625,XAUUSD,2022-06-22 16:09:00+00:00,2022-06-22 16:10:00+00:00,SHORT,1873.6,1869.35,1876.22,1869.35,22.5,2.29,4.58,1.86,9570.39,1,TP_HIT,1,0.0,35.6,NY_AM,BEARISH,BUY_SIDE,0.01,2.59,0.52,0.714,2.0,1.93,1,TRENDING_ORDERFLOW,3,0.89
955074,XAUUSD,2022-06-23 16:18:00+00:00,2022-06-23 16:19:00+00:00,SHORT,1868.65,1866.85,1870.04,1866.85,17.25,1.06,2.13,1.69,3109.67,1,TP_HIT,1,0.0,32.65,NY_AM,BEARISH,BUY_SIDE,0.01,2.33,2.33,0.5,2.0,0.43,1,NORMAL_EXPANSION,2,0.847
964724,XAUUSD,2022-06-30 09:08:00+00:00,2022-06-30 09:09:00+00:00,SHORT,1852.98,1849.17,1855.37,1849.17,17.25,2.06,4.13,1.84,6560.71,1,TP_HIT,1,0.0,34.98,LONDON_OPEN,BEARISH,BUY_SIDE,0.0,4.67,2.33,0.5,2.0,0.43,1,NORMAL_EXPANSION,2,0.905
966574,XAUUSD,2022-07-01 15:58:00+00:00,2022-07-01 15:59:00+00:00,SHORT,1843.04,1841.19,1844.45,1841.19,17.25,1.08,2.17,1.7,3182.32,1,TP_HIT,1,0.0,34.04,NY_AM,BEARISH,BUY_SIDE,0.0,1.75,1.75,0.5,2.0,0.57,1,NORMAL_EXPANSION,2,0.807
